周期产量,tmax01,tmax02,tmax03,tmax04,tmax05,tmax06,tmax07,tmax08,tmax09,tmax10,tmax11,tmax12,tmin01,tmin02,tmin03,tmin04,tmin05,tmin06,tmin07,tmin08,tmin09,tmin10,tmin11,tmin12,tave01,tave02,tave03,tave04,tave05,tave06,tave07,tave08,tave09,tave10,tave11,tave12,racc01,racc02,racc03,racc04,racc05,racc06,racc07,racc08,racc09,racc10,racc11,racc12,NDVI01,NDVI02,NDVI03,NDVI04,NDVI05,NDVI06,NDVI07,NDVI08,NDVI09,NDVI10,NDVI11,NDVI12
3.065367243,6.154609857,9.552387667,17.52945638,19.99262411,28.74108765,31.35021265,35.17702071,31.30283662,28.61352266,22.28732846,16.10718696,6.191205657,-2.080803759,-0.064964541,5.418912584,9.138865271,16.47219848,20.82160712,22.89598087,20.16865256,17.20364067,12.3936168,3.904633628,-1.683451563,2.062505854,4.748936193,11.47560279,14.59120569,22.58269535,26.07333361,29.07773079,25.74652467,22.86297823,17.34576773,10.07356993,2.238250578,49.61220322,32.54786326,8.958214664,35.12355177,11.53969608,69.14900284,201.099098,43.98532761,5.079772024,46.77169984,5.083475783,45.97872747,0.448619619,0.538399611,0.664421098,0.682626305,0.428706544,0.293830153,0.493728186,0.72129132,0.622540226,0.285259486,0.325007856,0.39384686
1.094678045,5.715329983,9.198781692,17.37177653,21.02517771,29.72472087,32.84548246,34.34406077,31.79664959,26.78401028,21.52137042,14.87766503,5.320253761,-3.458477154,-0.812385786,3.766446694,9.139035567,16.72822328,20.84548217,22.90837584,20.84299512,16.79157361,12.13685273,3.306192873,-2.51137055,1.123756339,4.192893399,10.57324901,15.07324877,23.18741123,26.84472033,28.62045725,26.30507572,21.78548207,16.83903515,9.078274159,1.410304566,27.25504949,20.60663396,3.247178195,20.41193069,6.229207972,59.00287127,187.5789605,33.97970296,25.75732672,28.82544556,2.013762362,22.19534655,0.118102465,0.202388731,0.320502971,0.382772747,0.330212809,0.373918283,0.62640687,0.717326037,0.560669672,0.339318416,0.276175578,0.272092307
2.901738811,6.066843438,9.38762138,17.73315643,20.2123784,29.05411152,31.97895632,34.87524355,31.2117596,27.83138809,22.07391719,15.72625991,5.711317362,-2.434836464,-0.445800184,5.184438502,9.093368742,16.61308613,21.03244947,23.01175955,20.45057465,17.41485401,12.49964638,3.975066299,-1.833421726,1.835101642,4.49133511,11.47409368,14.64606547,22.82873554,26.51626889,28.91900942,25.82847039,22.61450068,17.32139646,9.835632234,1.946419085,42.42210342,24.68270945,6.174866303,27.74278073,10.11934049,61.66354726,190.544563,47.30632798,8.319875216,39.9500892,3.597504463,37.29572193,0.229798907,0.370035147,0.57949399,0.639828633,0.458187766,0.348749328,0.56973001,0.732768798,0.659272893,0.358963444,0.300069929,0.374228927
0.195438184,5.946428565,9.510714224,18.24428569,20.64428568,29.18071425,31.68642853,33.26428561,30.55142856,25.27999999,20.28642851,14.35428576,4.804999944,-4.720714259,-1.879999986,3.697857145,7.890000078,15.29857145,18.40785709,21.33714281,19.56071427,15.73785712,11.26428571,3.007857142,-3.065714298,0.626428576,3.786428555,10.9864286,14.31714283,22.25071434,25.06428574,27.31285715,25.02500016,20.5050002,15.7685714,8.63928568,0.838571428,17.08239435,12.87464792,4.038028128,26.46690136,14.0443662,53.40774646,131.0570424,50.03309857,66.19225346,47.86408454,3.077464797,18.29014086,0.154096881,0.239219384,0.309991601,0.356149069,0.352862483,0.294111373,0.404192997,0.556866166,0.482044743,0.322639534,0.280561976,0.232083974
0.139290646,6.095521391,9.803542778,18.24618981,20.73643044,29.317647,32.36871653,33.65514707,30.25808823,26.28375666,20.92914434,15.11089575,5.319919778,-3.728141715,-1.06042781,3.989104266,8.40995989,15.74458558,19.86985298,21.94311501,19.36122992,16.66490645,11.83241978,3.564973258,-2.218983933,1.166377,4.35701871,11.12827538,14.59632354,22.51176472,26.11423796,27.82332886,24.78830214,21.48041442,16.41524064,9.334157778,1.557286096,19.95659994,17.9745333,4.754066643,25.59646666,15.78626669,61.02413334,150.7604666,43.88846667,47.39853333,45.9192,2.730066684,21.34026668,0.163097333,0.294948637,0.433702079,0.460182916,0.367466551,0.276485939,0.413713453,0.648333213,0.555467221,0.342942521,0.261296885,0.258753686
0.174890347,4.273303189,8.044683289,16.27748853,19.6535068,28.4027149,31.7220588,32.85079226,30.64049746,25.2299772,20.11674203,13.56572401,4.256221684,-4.629298699,-1.708710396,2.852601813,7.989592763,15.77963792,19.63868787,21.59061096,19.81877848,15.8437781,11.2780543,2.667760172,-3.528619902,-0.183823527,3.166855218,9.570022571,13.79762445,22.08800922,25.70248884,27.24739819,25.21436634,20.53099528,15.7340496,8.07952494,0.388461534,15.83747368,14.19757897,1.949052619,15.06957894,6.818315794,52.63621055,160.7084213,47.97242103,55.48884212,34.43631576,4.722631577,12.05884212,0.162848549,0.284518035,0.413765006,0.539108014,0.463096555,0.439718785,0.612328112,0.727204617,0.618624037,0.467731763,0.338123687,0.31275855
0.351275881,7.083539278,10.036947,17.04396181,20.74774816,27.71347164,29.73591073,35.56269393,31.38090859,29.61917104,22.5735753,16.95085682,7.187524904,0.339418101,1.770107608,6.769111252,11.63252292,17.7451972,21.42562764,24.03591078,20.71873279,17.76476678,13.36313268,5.478796335,0.048146673,3.757911521,5.911319323,11.88206444,16.17680389,22.7121962,25.58110836,29.84149023,26.07911548,23.62224008,17.9699083,11.21666008,3.641092067,69.23406113,53.32818581,25.27102025,69.15934893,32.87522825,88.62298533,118.8086542,52.83695914,3.406510523,70.75875349,24.31222707,76.17356092,0.24910343,0.280924014,0.328785122,0.355675591,0.329603057,0.466435614,0.621717486,0.626006854,0.437832049,0.318838314,0.307691109,0.3278794
1.043012499,4.71460747,8.221106875,16.93198173,20.18301168,29.16512261,32.50714278,33.97065627,31.67850733,26.46100384,21.19408002,14.34498073,4.661003749,-3.742084943,-1.247812091,3.774581751,8.846074638,16.76280559,21.05456906,22.94633184,20.91151833,16.61428562,11.97387375,2.846138984,-3.11306306,0.466216223,3.515894484,10.33069499,14.54395105,22.96132547,26.76570118,28.47773479,26.31615116,21.58005171,16.58938258,8.575868797,0.766795363,34.26305037,26.16228474,2.438098277,19.68519466,3.789087421,73.05386062,209.4440332,50.8843012,19.41512443,22.83420541,2.741161454,22.08302486,0.145604321,0.298439373,0.458805243,0.564094829,0.488962247,0.359146873,0.624657814,0.783382305,0.710481504,0.448901253,0.255573368,0.271354145
0.15922943,6.672198012,9.846014895,17.66323169,19.67770858,27.43689282,29.81625155,33.20519924,29.67154426,26.62714822,20.95348695,15.8173724,6.173630134,-1.61665629,0.00504359,4.807814412,8.965784553,15.59760269,19.56027396,21.90183686,19.39735368,16.78471361,12.08707974,4.1388543,-1.075062266,2.538107091,4.953922776,11.22238478,14.34819428,21.53318816,24.68082189,27.56173736,24.55006228,21.67848693,16.52188662,10.01005606,2.554638845,27.77283221,26.58933253,12.4445415,54.68437303,41.90202746,79.13225201,133.6430443,62.79170307,30.74638178,79.58562077,7.262507812,40.74550846,0.231454784,0.290708064,0.426201428,0.543551961,0.540326386,0.561083632,0.703177383,0.757284317,0.652027446,0.502757173,0.34046418,0.276504466
0.597241047,3.457904416,7.481311262,16.69246328,20.43106608,29.20649518,33.0757351,34.2043503,32.0812496,26.39246319,21.41200988,13.71874998,4.059803903,-5.439644604,-2.235477935,2.879289209,8.559558775,16.79148279,21.00735297,22.67236539,20.25392162,16.11219362,11.39963228,1.575122554,-5.219301483,-0.981801472,2.631985288,9.782230391,14.47977938,22.98860299,27.0533703,28.43204631,26.16268444,21.24957104,16.39025735,7.65992649,-0.588419123,24.41454553,22.62721215,1.434969699,11.4518788,4.091151511,62.37975758,164.6359394,43.54533331,33.23230299,21.19369693,4.456181817,10.1060606,0.106118982,0.216135482,0.360903581,0.505666738,0.456126764,0.396588824,0.610258807,0.787579457,0.725601994,0.416372233,0.290949723,0.280077783
